Year,NVIDIA,Microsoft,Apple,Alphabet,Amazon,Meta,Broadcom,Tesla,Berkshire Hathaway,TSMC
2025,4338000000000,3801000000000,3791000000000,2985000000000,2343000000000,1868000000000,1579000000000,1464000000000,1078000000000,1417000000000
2024,3355000000000,3200000000000,3863000000000,2365000000000,2352000000000,1514000000000,1133000000000,1385000000000,983860000000,1045000000000
2023,1223000000000,2794000000000,2994000000000,1756000000000,1570000000000,909620000000,461010000000,789890000000,777450000000,539380000000
2022,364180000000,1787000000000,2066000000000,1145000000000,856940000000,319880000000,233650000000,388970000000,681770000000,386310000000
2021,735270000000,2522000000000,2901000000000,1917000000000,1691000000000,921930000000,274730000000,1061000000000,669120000000,575930000000
2020,323240000000,1681000000000,2255000000000,1185000000000,1634000000000,778230000000,178070000000,668900000000,543670000000,488120000000
2019,144000000000,1200000000000,1287000000000,921130000000,920220000000,585370000000,125710000000,75710000000,551960000000,286570000000
2018,81430000000,780360000000,746070000000,723550000000,737460000000,374130000000,103560000000,57440000000,502370000000,191190000000
2017,117260000000,659900000000,860880000000,729450000000,563530000000,512750000000,105160000000,52320000000,489240000000,199410000000
2016,57530000000,483160000000,608960000000,539060000000,356310000000,331590000000,70520000000,34420000000,401640000000,145700000000
2015,17730000000,439670000000,583610000000,528160000000,318340000000,296600000000,40130000000,31540000000,325280000000,109640000000
2014,10890000000,381720000000,643120000000,359500000000,144310000000,216730000000,25680000000,27950000000,370660000000,115310000000
2013,9100000000,310500000000,500740000000,0,183040000000,139190000000,13160000000,18510000000,292410000000,91390000000
2012,7660000000,223660000000,499690000000,0,113890000000,63140000000,7770000000,3860000000,220610000000,86830000000
2011,8460000000,218380000000,377510000000,0,78710000000,0,7050000000,2970000000,189210000000,65310000000
2010,8940000000,234520000000,297090000000,0,81180000000,0,6860000000,2520000000,198310000000,63550000000
2009,10360000000,268550000000,190980000000,0,59720000000,0,4300000000,0,153620000000,52210000000
2008,4330000000,172920000000,75990000000,0,21990000000,0,0,0,149560000000,40480000000
2007,18900000000,332110000000,174030000000,0,38530000000,0,0,0,219370000000,51040000000
2006,13150000000,291940000000,72980000000,0,16330000000,0,0,0,169640000000,56460000000
2005,6250000000,271540000000,60790000000,0,19610000000,0,0,0,136380000000,49010000000
2004,3910000000,290710000000,26050000000,0,18140000000,0,0,0,135300000000,39480000000
2003,2500000000,295290000000,7880000000,0,21220000000,0,0,0,129510000000,41510000000
2002,1200000000,276630000000,5160000000,0,7320000000,0,0,0,111630000000,26260000000
2001,6440000000,358050000000,7710000000,0,4030000000,0,0,0,115560000000,57800000000
2000,2220000000,230800000000,5130000000,0,5550000000,0,0,0,108250000000,40320000000
1999,960000000,604410000000,16570000000,0,26270000000,0,0,0,85080000000,69030000000
1998,0,348100000000,5540000000,0,17050000000,0,0,0,90930000000,17170000000
1997,0,157360000000,1680000000,0,1440000000,0,0,0,56770000000,14840000000
1996,0,99410000000,2600000000,0,0,0,0,0,42000000000,0
1995,0,0,0,0,0,0,0,0,0,0
